city,day_avg,night_avg,day_var,night_var,part_date
2309,6091.608969,2163.637408,7041.935571,2570.642351,20200120
2312,4217.033005,1436.964532,5249.843627,1916.139075,20200120
2310,5514.267606,1971.609983,6482.940337,2354.21392,20200120
2301,8066.491674,2819.23135,11435.34115,4118.226275,20200121
2302,6602.836753,2391.558961,8807.571163,3303.127231,20200121
2305,6413.761036,2358.04829,8065.652809,3134.830214,20200121
2307,6051.097364,2189.613287,7874.31245,2992.405416,20200121
2309,6232.428923,2231.966922,7273.799118,2694.652669,20200121
2311,5914.019349,2183.445709,7245.806152,2878.377958,20200121
2313,5711.321397,2106.231059,6583.505393,2535.776291,20200121
2303,5530.063815,1934.089077,7972.556767,2916.207457,20200121
2304,6366.275814,2337.608473,8742.928804,3355.191086,20200121
2306,7574.978989,2634.078563,8415.26672,3161.338732,20200121
2308,5094.936183,1889.494171,6723.900806,2614.127691,20200121
2310,5443.612055,1986.706504,6377.362061,2364.967124,20200121
2312,4153.023153,1455.34335,5198.689914,1923.580135,20200121
2307,5081.795673,2056.738687,6521.46672,2806.386659,20200122
2311,5092.858282,1987.33527,6109.3016,2615.238797,20200122
2309,5374.805131,2047.771015,6274.170046,2472.105142,20200122
2313,4706.452293,1874.016539,5332.82161,2262.750253,20200122
2305,5506.460805,2250.458523,6876.751159,2977.233748,20200122
2302,5624.136061,2142.647431,7348.819291,2925.363125,20200122
2304,5362.603536,2095.487537,7281.385865,2982.766748,20200122
2312,3577.142928,1289.507146,4439.669419,1695.454818,20200122
2303,4642.549144,1810.814717,6539.167848,2761.338646,20200122
2308,4328.15501,1715.351738,5677.87925,2372.813124,20200122
2306,6503.766819,2491.333942,7135.394955,3005.326587,20200122
2310,4646.117257,1772.826186,5414.76301,2121.926853,20200122
2301,6572.935197,2482.677934,9099.38705,3586.885863,20200122
2308,5058.761136,1894.252963,6611.781639,2614.617085,20200123
2302,6365.07383,2332.517399,8113.592567,3177.902386,20200123
2311,5731.546354,2182.501536,6638.944082,2835.219422,20200123
2306,7242.925723,2761.612177,7931.290906,3364.63645,20200123
2304,5956.263079,2260.114651,7947.237299,3209.095974,20200123
2305,6205.196432,2483.191661,7570.864984,3305.354383,20200123
2307,5678.357361,2256.73118,7185.209483,3085.818479,20200123
2303,5220.086097,1965.5232,7216.871243,2941.233849,20200123
2301,7026.117173,2637.814731,9417.400608,3763.939815,20200123
2310,5351.628341,1945.236379,6212.25515,2336.482666,20200123
2312,4100.034483,1454.615764,5134.421468,1942.058129,20200123
2309,6205.329232,2277.451736,7370.833417,2803.462953,20200123
2313,5111.556393,2025.55601,5606.092822,2425.045527,20200123
2309,4174.941498,1572.582832,5138.225435,1903.09606,20200124
2303,3359.665722,1361.887895,4203.786224,1878.140976,20200124
2301,4256.144629,1672.583627,5441.18254,2270.690805,20200124
2307,3570.375725,1467.165496,4316.177216,1865.674886,20200124
2305,3961.781743,1616.562448,4591.107301,1921.634274,20200124
2311,3617.996122,1308.787156,3996.005655,1533.319206,20200124
2313,3206.185706,1324.953285,3330.82877,1475.483039,20200124
2302,4184.579272,1564.756977,5006.200964,2002.71745,20200124
2312,2889.544379,1035.750986,3534.111978,1330.043113,20200124
2308,3488.675466,1371.823818,4374.769692,1827.005826,20200124
2304,3918.112084,1474.730572,5021.103681,1955.331247,20200124
2306,4817.451554,1883.929007,4924.01071,2179.434032,20200124
2310,3713.256272,1357.138296,4305.732242,1558.798949,20200124
2306,5685.111483,1913.094121,5821.630534,1978.809412,20200125
2304,4548.771307,1454.495573,5852.404591,1807.046602,20200125
2308,4128.46083,1397.059726,5248.14236,1794.376479,20200125
2310,4305.974917,1338.496061,5003.662141,1470.950377,20200125
2301,5008.895048,1641.682717,6393.239901,2098.587821,20200125
2309,4760.25205,1478.040459,5961.149886,1745.300273,20200125
2311,4280.916306,1318.627594,4741.517761,1448.500499,20200125
2312,3452.515779,1029.856509,4246.478685,1243.961612,20200125
